name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Athens,GR",2022-01-26,5.3,0.7,2.8,3.2,-1.7,0.4,-6,53.1,0,0,0,,0,2.6,37.7,19.3,309,1023.8,46.6,10,130.7,11.2,6,10,2022-01-26T07:34:19,2022-01-26T17:41:17,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-27,10.7,2.7,5.7,10.7,0.7,4.3,-2.6,55.9,0,0,0,,0,1.5,19.7,15.4,329.9,1024.9,48.1,10,122.1,10.5,5,10,2022-01-27T07:33:38,2022-01-27T17:42:24,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-28,13.3,0.9,6.2,13.3,-1.1,5.7,-0.7,63.8,0,0,0,,0,1.1,16.2,9.4,287.8,1022.3,37.2,10,132.9,11.4,6,10,2022-01-28T07:32:54,2022-01-28T17:43:32,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-29,9.4,1.7,5.9,8.1,1.7,3.9,1.9,75.8,0.022,100,4.17,rain,0,0.8,58,25.2,348.3,1018.3,78.1,9.8,30.5,2.5,2,10,2022-01-29T07:32:08,2022-01-29T17:44:39,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-30,11.5,3.7,8.3,11.5,3.5,6.3,2.9,69.3,1.787,100,8.33,rain,0,0.3,61.2,31,5.7,1016.3,55.7,10,118.2,10.2,5,10,2022-01-30T07:31:21,2022-01-30T17:45:47,0.98,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-31,13.7,1.7,8,13.7,0.4,7.5,1.2,64.9,0,0,0,,0,0,36.1,11.8,21.7,1014,27.6,10,135.6,11.9,6,10,2022-01-31T07:30:32,2022-01-31T17:46:55,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-01,16.7,8.7,13.1,16.7,7,13,8.2,72.3,1.65,100,4.17,rain,0,0,59.7,42.2,185.4,1004.1,70.4,10,86.8,7.6,4,10,2022-02-01T07:29:42,2022-02-01T17:48:03,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-02,13.1,6.8,10.5,13.1,3.9,9.7,6.3,75.8,8.436,100,16.67,rain,0,0,57.6,25.1,177.7,1002.2,84.2,9.6,80.8,6.9,5,10,2022-02-02T07:28:50,2022-02-02T17:49:10,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16716199999,E0407,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-03,9.2,6,7.4,5.7,1.8,3.6,2.1,69.3,1.923,100,12.5,rain,0,0,66.6,36.5,343.6,1009.6,79.2,9.9,100,8.5,6,10,2022-02-03T07:27:56,2022-02-03T17:50:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-04,11.1,3.5,7.2,11.1,1.9,5.6,0.9,65.4,1.504,100,12.5,rain,0,0,50,25,356.9,1021.4,47.7,10,147.1,12.7,6,10,2022-02-04T07:27:01,2022-02-04T17:51:26,0.07,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
